source_sheet,content
Main,Product: Main | Section: Main | Detail: liability products & services | consumer products
Main,Product: Main | Section: Main | Detail: 1 | nust asaan account (naa) | 1 | nust4car – nust bank’s auto finance facility (faqs)
Main,Product: Main | Section: Main | Detail: 2 | little champs account | 2 | personal finance
Main,Product: Main | Section: Main | Detail: 3 | nust sahar accounts | 3 | nust master card
Main,Product: Main | Section: Main | Detail: 4 | nust waqaar account | 4 | nust mortgage finance
Main,Product: Main | Section: Main | Detail: 5 | pakwatan remittance account | sme products
Main,Product: Main | Section: Main | Detail: 6 | nust home remittance | 1 | nust sahar finance
Main,Product: Main | Section: Main | Detail: 7 | rda digital customer onboarding | 2 | nust imarat finance
Main,Product: Main | Section: Main | Detail: 8 | current deposit account (cda) | 3 | nust ujala finance
Main,Product: Main | Section: Main | Detail: 9 | value plus current account (individual) (vpca) | 4 | nust flour mill finance
Main,Product: Main | Section: Main | Detail: 10 | value plus business account (vp-ba) | 5 | nust fauri business finance
Main,Product: Main | Section: Main | Detail: 11 | value premium business account (vpba) | 6 | prime minister youth business & agriculture loan scheme
Main,Product: Main | Section: Main | Detail: 12 | nust maximiser account | 7 | nust hunarmand finance
Main,Product: Main | Section: Main | Detail: 13 | nust special deposit account (nsda) | 8 | nust rice finance
Main,Product: Main | Section: Main | Detail: 14 | profit and loss sharing account (pls) | third party products
Main,Product: Main | Section: Main | Detail: 15 | nust asaan digital account | 1 | nust life bancassurance policy
Main,Product: Main | Section: Main | Detail: 16 | nust asaan digital remittance account | 2 | efu life bancassurance policy
Main,Product: Main | Section: Main | Detail: 17 | nust freelancer digital account. | 3 | jubilee life bancassurance policy
Rate Sheet July 1 2024,"Product: Rate Sheet July 1 2024 | Section: Rate Sheet July 1 2024 | Detail: indicative profit rates (for conventional deposit products on “per annum” basis) effective july 1st, 2024"
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: Rate Sheet July 1 2024 | Detail: savings accounts | term deposits
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: change
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: change | Detail: nust asaan account | short notice deposit receipt (sndr)
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: change | Detail: profit payment | profit rate | tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: change | Detail: semi-annually | 0.19 | 7 days | maturity | 0.165
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: change | Detail: 29 days | 0.165
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | term deposits
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: semi-annually | 0.19 | tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: one month | maturity | 0.17
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: little champs account | two months | 0.17
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | three months | 0.17
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: semi-annually | 0.19 | six months | 0.17
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: one year | 0.175
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: nust special deposit account (asda) | two years | 0.155
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | three years | 0.15
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: monthly/semi-annually | 0.19 | five years | 0.14
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: nust waqaar account - senior citizen | term deposits
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: monthly | 0.19 | three months | monthly | 0.16
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: six months | monthly | 0.16
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: pakwatan remittance account | six months | quarterly | 0.1625
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: monthly | 0.19 | nust waqaar account - senior citizen - term deposit
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: nust sahar savings account | one year | monthly | 0.1675
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: monthly | 0.19 | nust bachat account -individual/corporate and value plus term deposit*
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: nust maximiser savings account | tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | one year | monthly | 0.15
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: monthly | 0.19 | two years | monthly/ quarterly/ annual | 0.13
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: quarterly | 0.1905 | *discontinued - no fresh booking allowed
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: semi-annually | 0.191
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: annually | 0.1915 | nust maximiser - term deposit
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: pls pensioners account | one year | monthly | 0.1675
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: profit payment | profit rate | two years | 0.1425
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: semi-annually | 0.1925 | three years | 0.13752
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: pls savings | Detail: five years | 0.13
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: tenor | payout | profit rate
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: one year | monthly | 0.17
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: three years | 0.14
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: five years | 0.1325
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: fcy | usd | gbp | eur
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: savings account | 0.0025 | 0.0025 | 0
Rate Sheet July 1 2024,Product: Rate Sheet July 1 2024 | Section: nust sahar - term deposit | Detail: term deposits | 0.0025 | 0.0025 | 0
LCA,"Product: LCA | Section: LCA | Detail: i would like to open an account with my son, do u have any product for kids? | main"
LCA,Product: LCA | Section: LCA | Detail: yes our product is little champs account. it is designed specifically for minors (individuals below the age of 18 years). a child requires the help of a parental/legal guardian to open this account and avail its facilities. little champs get a debit card and chequebook which is free the first time
LCA,Product: LCA | Section: what are the main features of the little champs account.
LCA,Product: LCA | Section: what are the main features of the little champs account. | Detail: minimum initial deposit of rs.100/- | little champs savings a/c
LCA,Product: LCA | Section: what are the main features of the little champs account. | Detail: free first chequebook* | profit payment | profit rate
LCA,Product: LCA | Section: what are the main features of the little champs account. | Detail: free debit card* (annual/replacement fees apply). this debit card has the following limits | semi-annually | 0.19
LCA,"Product: LCA | Section: daily funds transfer limit: rs.100,000/-"
LCA,"Product: LCA | Section: daily atm withdrawal limit: rs.25,000/-"
LCA,"Product: LCA | Section: daily pos limit: rs.50,000/-"
LCA,Product: LCA | Section: * for current account only
LCA,Product: LCA | Section: what other value added features does the little champs account have?
LCA,Product: LCA | Section: attractive returns on savings account
LCA,Product: LCA | Section: sms alert service on digital transactions
LCA,Product: LCA | Section: i net banking services
LCA,"Product: LCA | Section: i net banking services | Detail: free education insurance plan – rs.5,000/- per month for 5 years on savings account & rs.10,000 per month for 5 years on current account in case of death of the guardian"
LCA,Product: LCA | Section: what is the account type of little champs account is it saving or current ?
LCA,Product: LCA | Section: this account is offered both in current and savings categories
LCA,Product: LCA | Section: how can the minor operate this account?
LCA,"Product: LCA | Section: how can the minor operate this account? | Detail: this account is opened in the name of the minor. however, a minor needs a guardian’s help to avail the account’s facilities"
LCA,Product: LCA | Section: how can the minor operate this account? | Detail: a minor can use the account any time – which means he or she can make deposits or take money out at any time with the guardian’s help.
LCA,Product: LCA | Section: what documents are required to open a little champs account.
LCA,"Product: LCA | Section: what documents are required to open a little champs account. | Detail: · a photocopy of form-b, birth certificate or student id card (as appropriate) of the minor"
LCA,Product: LCA | Section: · a photocopy of any one of the following valid identity documents of the guardian of the minor:
LCA,Product: LCA | Section: 1. computerized national identity card (cnic) issued by nadra
LCA,Product: LCA | Section: 2. national identity card for overseas pakistani (nicop) issued by nadra
LCA,Product: LCA | Section: 3. pakistan origin card (poc) issued by nadra
LCA,"Product: LCA | Section: 3. pakistan origin card (poc) issued by nadra | Detail: 4. alien registration card (arc) issued by national aliens registration authority (nara), ministry of interior (local currency account only)"
